,First Name,Last Name,Club,Value
0,Ellyes,Skhiri,Koeln,396.2
1,Maximilian,Eggestein,Bremen,388.1
2,Theodor,Gebre Selassie,Bremen,374.5
3,Robin,Knoche,Union,370.6
4,Marvin,Friedrich,Union,370.1
5,Wataru,Endo,Stuttgart,365.0
6,Wout,Weghorst,Wolfsburg,364.9
7,Christian,Günter,Freiburg,361.0
8,Matthias,Ginter,Moenchengladbach,354.3
9,Ridle,Baku,Wolfsburg,351.5
10,Philipp,Lienhart,Freiburg,351.1
11,Manuel,Prietl,Bielefeld,350.7
12,Ondrej,Duda,Koeln,348.2
13,Thomas,Müller,Bayern,347.5
14,Stefan,Lainer,Moenchengladbach,344.5
15,Nicolas,Höfler,Freiburg,343.9
16,Niklas,Stark,Berlin,340.0
17,Ritsu,Doan,Bielefeld,338.6
18,Robert,Andrich,Union,337.7
19,Maximilian,Arnold,Wolfsburg,337.6
20,Florian,Neuhaus,Moenchengladbach,336.4
21,Amos,Pieper,Bielefeld,335.9
22,Cedric,Brunner,Bielefeld,334.4
23,Moussa,Niakhaté,Mainz,332.8
24,Xaver,Schlager,Wolfsburg,332.3
25,Jeremiah,St. Juste,Mainz,331.7
26,Waldemar,Anton,Stuttgart,325.4
27,Daniel,Caligiuri,Augsburg,321.8
28,Jeffrey,Gouweleeuw,Augsburg,320.4
29,André,Silva,Frankfurt,319.0
30,Diadie,Samassékou,Hoffenheim,316.2
31,Marius,Wolf,Koeln,315.6
32,Leandro,Barreiro,Mainz,315.3
33,Joshua,Sargent,Bremen,314.4
34,Christopher,Trimmel,Union,311.9
35,Fabian,Klos,Bielefeld,310.2
36,Edmond,Tapsoba,Leverkusen,310.1
37,Mats,Hummels,Dortmund,310.1
38,Christoph,Baumgartner,Hoffenheim,310.0
39,Filip,Kostic,Frankfurt,307.4
40,David,Alaba,Bayern,307.3
41,Daichi,Kamada,Frankfurt,307.1
42,Joshua,Kimmich,Bayern,306.8
43,Marc-Oliver,Kempf,Stuttgart,305.8
44,Andrej,Kramaric,Hoffenheim,305.7
45,Baptiste,Santamaria,Freiburg,305.1
46,Felix,Uduokhai,Augsburg,304.9
47,Florian,Wirtz,Leverkusen,304.6
48,John,Anthony Brooks,Wolfsburg,304.5
49,Marco,Friedl,Bremen,304.1
50,Djibril,Sow,Frankfurt,299.0
51,Vincenzo,Grifo,Freiburg,296.2
52,Maxence,Lacroix,Wolfsburg,295.8
53,Marco,Reus,Dortmund,289.2
54,Lucas,Tousart,Berlin,287.8
55,Nico,Elvedi,Moenchengladbach,285.2
56,Martin,Hinteregger,Frankfurt,285.2
57,Robert,Lewandowski,Bayern,280.0
58,Jonathan,Schmid,Freiburg,279.9
59,Ihlas,Bebou,Hoffenheim,279.6
60,André,Hahn,Augsburg,279.2
61,Christopher,Lenz,Union,278.3
62,Erling,Haaland,Dortmund,275.9
63,Christoph,Kramer,Moenchengladbach,275.8
64,Vladimír,Darida,Berlin,274.7
65,Willi,Orban,Leipzig,274.5
66,Jean-Paul,Boëtius,Mainz,274.1
67,Lucas,Höler,Freiburg,272.5
68,Dayot,Upamecano,Leipzig,272.4
69,Raphaël,Guerreiro,Dortmund,271.7
70,Moussa,Diaby,Leverkusen,270.6
71,Jonathan,Tah,Leverkusen,270.2
72,Dani,Olmo,Leipzig,269.6
73,Makoto,Hasebe,Frankfurt,267.7
74,Lars,Stindl,Moenchengladbach,266.6
75,,Angeliño,Leipzig,265.1
76,Leon,Bailey,Leverkusen,264.1
77,Stefan,Posch,Hoffenheim,262.6
78,Marcel,Sabitzer,Leipzig,262.6
79,Saša,Kalajdžic,Stuttgart,261.3
80,Jérôme,Boateng,Bayern,260.4
81,Marcus,Ingvartsen,Union,260.2
82,Orel,Mangala,Stuttgart,258.6
83,Joakim,Nilsson,Bielefeld,258.1
84,Grischa,Prömel,Union,255.5
85,Manuel,Akanji,Dortmund,253.7
86,Yannick,Gerhardt,Wolfsburg,253.4
87,Giovanni,Reyna,Dortmund,252.7
88,Carlos,Gruezo,Augsburg,250.9
89,Ludwig,Augustinsson,Bremen,250.8
90,Amine,Harit,Schalke,250.6
91,Nadiem,Amiri,Leverkusen,250.6
92,Kevin,Kampl,Leipzig,250.5
93,Jonas,Hofmann,Moenchengladbach,249.7
94,Elvis,Rexhbecaj,Koeln,248.0
95,Jadon,Sancho,Dortmund,247.3
96,Danny,Latza,Mainz,246.3
97,Amadou,Haidara,Leipzig,246.0
98,Evan,Ndicka,Frankfurt,243.7
99,Rani,Khedira,Augsburg,243.1
100,Tobias,Strobl,Augsburg,243.0
101,Rafael,Czichos,Koeln,242.9
102,Tyler,Adams,Leipzig,242.4
103,Benjamin,Pavard,Bayern,242.2
104,Emre,Can,Dortmund,242.1
105,Matheus,Cunha,Berlin,241.6
106,Marcel,Hartel,Bielefeld,240.2
107,Suat,Serdar,Schalke,239.9
108,Florian,Grillitsch,Hoffenheim,239.0
109,Borna,Sosa,Stuttgart,238.1
110,Sebastian,Rudy,Hoffenheim,237.9
111,Omar,Mascarell,Schalke,235.1
112,Mattéo,Guendouzi,Berlin,234.1
113,Kerem,Demirbay,Leverkusen,234.1
114,Josip,Brekalo,Wolfsburg,231.1
115,Christopher,Nkunku,Leipzig,231.1
116,Manuel,Gulde,Freiburg,230.4
117,Charles,Aránguiz,Leverkusen,229.0
118,Florian,Niederlechner,Augsburg,227.4
119,Bastian,Oczipka,Schalke,223.5
120,Karim,Onisiwo,Mainz,222.8
